source_stop_id,target_stop_id,weight,mode,line,route_short_name,route_long_name,transfer,distance_meters,estimated_time_min,data_source
FORT_1,FORT_2,2.8,jeep,FORT_WEST,,Fort West,False,388.92,2.8,gtfs
FORT_10,FORT_2,2.4,jeep,FORT_CENT,,Fort Central,False,268.79,2.4,gtfs
FORT_11,LTFRB_4974,7.97,jeep,FORT_WEST,,Fort West,False,1940.1,7.97,gtfs
FORT_2,FORT_3,2.38,jeep,FORT_WEST,,Fort West,False,262.67,2.38,gtfs
FORT_3,FORT_4,2.67,jeep,FORT_WEST,,Fort West,False,350.11,2.67,gtfs
FORT_4,FORT_5,1.99,jeep,FORT_WEST,,Fort West,False,146.48,1.99,gtfs
FORT_5,FORT_11,3.96,jeep,FORT_WEST,,Fort West,False,736.93,3.96,gtfs
FORT_5,FORT_6,2.64,jeep,FORT_CENT,,Fort Central,False,343.08,2.64,gtfs
FORT_6,FORT_7,2.51,jeep,FORT_CENT,,Fort Central,False,303.64,2.51,gtfs
FORT_7,FORT_8,3.63,jeep,FORT_CENT,,Fort Central,False,640.02,3.63,gtfs
FORT_8,FORT_9,3.22,jeep,FORT_CENT,,Fort Central,False,517.25,3.22,gtfs
FORT_9,FORT_10,3.6,jeep,FORT_CENT,,Fort Central,False,630.11,3.6,gtfs
LTFRB_1,LTFRB_2,1.97,jeep,LTFRB_PUJ2477,,Baliwag Malinta,False,139.53,1.97,gtfs
LTFRB_10,LTFRB_11,2.16,jeep,LTFRB_PUJ2477,,Baliwag Malinta,False,198.43,2.16,gtfs
LTFRB_10,LTFRB_9,2.38,jeep,LTFRB_PUJ2532,,Malinta Hagonoy via MacArthur Highway,False,265.44,2.38,gtfs
LTFRB_100,LTFRB_101,2.43,jeep,LTFRB_PUB1074,,Ayala Malanday via EDSA,False,277.99,2.43,gtfs
LTFRB_100,LTFRB_4520,2.22,jeep,LTFRB_PUB1166,,"Malanday Term - NAIA viaEDSA, Buendia, Ayala",False,215.44,2.22,gtfs
LTFRB_100,LTFRB_99,2.09,jeep,LTFRB_PUJ1428,,"Malanday - Pier South via Rizal Ave., P. Burgos",False,177.91,2.09,gtfs
LTFRB_1000,LTFRB_1001,2.36,jeep,LTFRB_PUB1044,,Domestic Grotto via EDSA,False,259.2,2.36,gtfs
LTFRB_1000,LTFRB_1004,5.0,jeep,LTFRB_PUJ2262,,QUIRINO HIGHWAY ZABARTE PANAY AVENUE,False,1049.35,5.0,gtfs
LTFRB_1000,LTFRB_999,2.36,jeep,LTFRB_PUJ1734,,LAGRO-CUBAO,False,259.19,2.36,gtfs
LTFRB_1001,LTFRB_1000,2.36,jeep,LTFRB_PUJ1734,,LAGRO-CUBAO,False,259.2,2.36,gtfs
LTFRB_1001,LTFRB_1002,2.04,jeep,LTFRB_PUB1044,,Domestic Grotto via EDSA,False,162.89,2.04,gtfs
LTFRB_1001,LTFRB_1003,3.25,jeep,LTFRB_PUB1069,,Ayala Grotto via EDSA,False,524.68,3.25,gtfs
LTFRB_1001,LTFRB_1004,4.13,jeep,LTFRB_PUB1091,,NAIA SM Fairview,False,790.21,4.13,gtfs
LTFRB_1001,LTFRB_1005,4.98,jeep,LTFRB_PUB1058,,SM Fairview Ayala Leveriza via EDSA,False,1043.04,4.98,gtfs
LTFRB_1002,LTFRB_1001,2.04,jeep,LTFRB_PUJ1734,,LAGRO-CUBAO,False,162.89,2.04,gtfs
LTFRB_1002,LTFRB_1003,2.73,jeep,LTFRB_PUB1044,,Domestic Grotto via EDSA,False,368.51,2.73,gtfs
LTFRB_1002,LTFRB_1004,3.61,jeep,LTFRB_PUB1068,,Ayala Fairview via EDSA,False,632.91,3.61,gtfs
LTFRB_1003,LTFRB_1002,2.73,jeep,LTFRB_PUJ1734,,LAGRO-CUBAO,False,368.51,2.73,gtfs
LTFRB_1003,LTFRB_1004,2.39,jeep,LTFRB_PUB1044,,Domestic Grotto via EDSA,False,265.56,2.39,gtfs
LTFRB_1003,LTFRB_1038,2.02,jeep,LTFRB_PUJ2249,,Marcos Ave Tandang Sora Balintawak,False,155.67,2.02,gtfs
LTFRB_1004,LTFRB_1002,3.61,jeep,LTFRB_PUB1135,,Baclaran-SM Fairview via Quezon Ave,False,632.91,3.61,gtfs
LTFRB_1004,LTFRB_1003,2.39,jeep,LTFRB_PUJ1734,,LAGRO-CUBAO,False,265.56,2.39,gtfs
LTFRB_1004,LTFRB_1005,2.34,jeep,LTFRB_PUB1044,,Domestic Grotto via EDSA,False,253.17,2.34,gtfs
LTFRB_1004,LTFRB_1012,7.86,jeep,LTFRB_PUB1040,,Baclaran SJDM via Commonwealth EDSA,False,1907.79,7.86,gtfs
LTFRB_1005,LTFRB_1001,4.98,jeep,LTFRB_PUB1069,,Ayala Grotto via EDSA,False,1043.04,4.98,gtfs
LTFRB_1005,LTFRB_1003,3.23,jeep,LTFRB_PUB1003,,Alabang Fairview,False,518.4,3.23,gtfs
LTFRB_1005,LTFRB_1004,2.34,jeep,LTFRB_PUJ1734,,LAGRO-CUBAO,False,253.17,2.34,gtfs
LTFRB_1005,LTFRB_1006,2.43,jeep,LTFRB_PUB1044,,Domestic Grotto via EDSA,False,279.18,2.43,gtfs
LTFRB_1005,LTFRB_1007,3.31,jeep,LTFRB_PUJ2262,,QUIRINO HIGHWAY ZABARTE PANAY AVENUE,False,544.46,3.31,gtfs
LTFRB_1005,LTFRB_1008,4.16,jeep,LTFRB_PUB1091,,NAIA SM Fairview,False,796.69,4.16,gtfs
LTFRB_1005,LTFRB_1010,5.9,jeep,LTFRB_PUB1058,,SM Fairview Ayala Leveriza via EDSA,False,1321.34,5.9,gtfs
LTFRB_1006,LTFRB_1005,2.43,jeep,LTFRB_PUJ1734,,LAGRO-CUBAO,False,279.18,2.43,gtfs
LTFRB_1006,LTFRB_1007,2.39,jeep,LTFRB_PUB1044,,Domestic Grotto via EDSA,False,265.56,2.39,gtfs
LTFRB_1007,LTFRB_1005,3.31,jeep,LTFRB_PUB1135,,Baclaran-SM Fairview via Quezon Ave,False,544.46,3.31,gtfs
LTFRB_1007,LTFRB_1006,2.39,jeep,LTFRB_PUJ1734,,LAGRO-CUBAO,False,265.56,2.39,gtfs
LTFRB_1007,LTFRB_1008,2.34,jeep,LTFRB_PUB1044,,Domestic Grotto via EDSA,False,253.17,2.34,gtfs
LTFRB_1007,LTFRB_1010,4.09,jeep,LTFRB_PUB1004,,Alabang Fairview,False,777.61,4.09,gtfs
LTFRB_1008,LTFRB_1005,4.16,jeep,LTFRB_PUB1173,,Norzgry / Spalay-NAIA / Baclrn Via Comm Fairv Ed,False,796.69,4.16,gtfs
LTFRB_1008,LTFRB_1007,2.34,jeep,LTFRB_PUJ1734,,LAGRO-CUBAO,False,253.17,2.34,gtfs
LTFRB_1008,LTFRB_1009,2.43,jeep,LTFRB_PUB1044,,Domestic Grotto via EDSA,False,279.18,2.43,gtfs
LTFRB_1008,LTFRB_1010,3.25,jeep,LTFRB_PUB1091,,NAIA SM Fairview,False,524.69,3.25,gtfs
LTFRB_1009,LTFRB_1008,2.43,jeep,LTFRB_PUJ1734,,LAGRO-CUBAO,False,279.18,2.43,gtfs
LTFRB_1009,LTFRB_1010,2.32,jeep,LTFRB_PUB1044,,Domestic Grotto via EDSA,False,247.49,2.32,gtfs
LTFRB_1009,LTFRB_2265,2.93,jeep,LTFRB_PUJ1518,,Pantranco - U.P.,False,430.45,2.93,gtfs
LTFRB_101,LTFRB_100,2.43,jeep,LTFRB_PUJ1428,,"Malanday - Pier South via Rizal Ave., P. Burgos",False,277.99,2.43,gtfs
LTFRB_101,LTFRB_102,1.94,jeep,LTFRB_PUJ2541,,Malinta Recto via F Huertas,False,133.43,1.94,gtfs
LTFRB_101,LTFRB_105,3.72,jeep,LTFRB_PUJ2483,,BBB Tullahan Sta Cruz,False,667.17,3.72,gtfs
LTFRB_101,LTFRB_1156,2.23,jeep,LTFRB_PUB1074,,Ayala Malanday via EDSA,False,219.7,2.23,gtfs
LTFRB_101,LTFRB_263,2.23,jeep,LTFRB_PUJ1466,,MCU - Sangandaan,False,219.7,2.23,gtfs
LTFRB_101,LTFRB_264,1.69,jeep,LTFRB_PUJ1139,,Balintawak - Monumento via A. Bonifacio,False,55.6,1.69,gtfs
LTFRB_101,LTFRB_4961,2.22,transfer,transfer,transfer,transfer,True,166.79,2.22,derived_transfer
LTFRB_101,LTFRB_99,3.02,jeep,LTFRB_PUB1122,,"Baclaran-Malanday viaEDSA, McArthur, Ayala",False,455.9,3.02,gtfs
LTFRB_1010,LTFRB_1007,4.09,jeep,LTFRB_PUB1135,,Baclaran-SM Fairview via Quezon Ave,False,777.61,4.09,gtfs
LTFRB_1010,LTFRB_1008,3.25,jeep,LTFRB_PUB1173,,Norzgry / Spalay-NAIA / Baclrn Via Comm Fairv Ed,False,524.69,3.25,gtfs
LTFRB_1010,LTFRB_1009,2.32,jeep,LTFRB_PUJ1734,,LAGRO-CUBAO,False,247.49,2.32,gtfs
LTFRB_1010,LTFRB_1011,1.99,jeep,LTFRB_PUJ1054,,Anonas/Aurora - Lagro via Don Mariano Marcos Ave.,False,146.93,1.99,gtfs
LTFRB_1010,LTFRB_1012,2.96,jeep,LTFRB_PUB1044,,Domestic Grotto via EDSA,False,437.29,2.96,gtfs
LTFRB_1010,LTFRB_2246,3.45,jeep,LTFRB_PUB1160,,"Grotto - NAIA via EDSA, Ayala, Buendia Extn",False,585.8,3.45,gtfs
LTFRB_1011,LTFRB_1010,1.99,jeep,LTFRB_PUJ1734,,LAGRO-CUBAO,False,146.93,1.99,gtfs
LTFRB_1011,LTFRB_1012,2.73,jeep,LTFRB_PUJ1054,,Anonas/Aurora - Lagro via Don Mariano Marcos Ave.,False,368.52,2.73,gtfs
LTFRB_1011,LTFRB_2246,3.03,jeep,LTFRB_PUB1174,,Norzgry / Spalay-NAIA / Baclrn Via Comm Fairv Ed,False,457.61,3.03,gtfs
LTFRB_1012,LTFRB_1010,2.96,jeep,LTFRB_PUB1135,,Baclaran-SM Fairview via Quezon Ave,False,437.29,2.96,gtfs
LTFRB_1012,LTFRB_1013,2.28,jeep,LTFRB_PUB1044,,Domestic Grotto via EDSA,False,232.82,2.28,gtfs
LTFRB_1012,LTFRB_1015,2.39,jeep,LTFRB_PUJ1602,,Tandang Sora - Visayas Ave. via Q.C. Hall,False,265.57,2.39,gtfs
LTFRB_1012,LTFRB_1081,2.83,jeep,LTFRB_PUJ2232,,Lagro SM North,False,398.35,2.83,gtfs
LTFRB_1013,LTFRB_1012,2.28,jeep,LTFRB_PUB1135,,Baclaran-SM Fairview via Quezon Ave,False,232.82,2.28,gtfs
LTFRB_1013,LTFRB_1014,2.28,jeep,LTFRB_PUB1044,,Domestic Grotto via EDSA,False,233.51,2.28,gtfs
LTFRB_1013,LTFRB_1081,2.1,jeep,LTFRB_PUJ1949,,EDSA NORTH AVE - QC HALL,False,180.19,2.1,gtfs
LTFRB_1014,LTFRB_1013,2.28,jeep,LTFRB_PUB1135,,Baclaran-SM Fairview via Quezon Ave,False,233.51,2.28,gtfs
LTFRB_1014,LTFRB_1015,3.09,jeep,LTFRB_PUB1042,,Baclaran SM Fairview via Lagro,False,478.14,3.09,gtfs
LTFRB_1014,LTFRB_1403,2.23,jeep,LTFRB_PUJ1937,,FAIRVIEW WET MARKET - PIER SOUTH via QUEZON AVE,False,217.5,2.23,gtfs
LTFRB_1014,LTFRB_2246,3.25,jeep,LTFRB_PUJ1401,,Bagong Silang - Ever Gotesco extended to Philcoa,False,524.7,3.25,gtfs
LTFRB_1014,LTFRB_2247,3.28,jeep,LTFRB_PUB1044,,Domestic Grotto via EDSA,False,533.57,3.28,gtfs
LTFRB_1015,LTFRB_1013,2.32,jeep,LTFRB_PUJ1603,,Tandang Sora - Visayas Ave. via Q.C. Hall,False,244.63,2.32,gtfs
LTFRB_1015,LTFRB_1016,2.32,jeep,LTFRB_PUJ1602,,Tandang Sora - Visayas Ave. via Q.C. Hall,False,247.04,2.32,gtfs
LTFRB_1015,LTFRB_2247,4.86,jeep,LTFRB_PUB1042,,Baclaran SM Fairview via Lagro,False,1006.52,4.86,gtfs
LTFRB_1016,LTFRB_1015,2.32,jeep,LTFRB_PUJ1603,,Tandang Sora - Visayas Ave. via Q.C. Hall,False,247.04,2.32,gtfs
LTFRB_1016,LTFRB_1017,2.32,jeep,LTFRB_PUJ1602,,Tandang Sora - Visayas Ave. via Q.C. Hall,False,247.04,2.32,gtfs
LTFRB_1017,LTFRB_1016,2.32,jeep,LTFRB_PUJ1603,,Tandang Sora - Visayas Ave. via Q.C. Hall,False,247.04,2.32,gtfs
LTFRB_1017,LTFRB_1018,2.29,jeep,LTFRB_PUJ1675,,PIER SOUTH-PROJ 6,False,237.08,2.29,gtfs
LTFRB_1017,LTFRB_1085,2.22,jeep,LTFRB_PUJ1676,,PIER SOUTH-PROJ 6,False,215.15,2.22,gtfs
LTFRB_1018,LTFRB_1017,2.29,jeep,LTFRB_PUJ1676,,PIER SOUTH-PROJ 6,False,237.08,2.29,gtfs
LTFRB_1018,LTFRB_1019,2.46,jeep,LTFRB_PUJ1602,,Tandang Sora - Visayas Ave. via Q.C. Hall,False,289.11,2.46,gtfs
LTFRB_1018,LTFRB_1086,2.23,jeep,LTFRB_PUJ1675,,PIER SOUTH-PROJ 6,False,217.5,2.23,gtfs
LTFRB_1019,LTFRB_1018,2.46,jeep,LTFRB_PUJ1603,,Tandang Sora - Visayas Ave. via Q.C. Hall,False,289.11,2.46,gtfs
LTFRB_1019,LTFRB_1020,2.49,jeep,LTFRB_PUJ1602,,Tandang Sora - Visayas Ave. via Q.C. Hall,False,298.08,2.49,gtfs
LTFRB_102,LTFRB_101,1.94,jeep,LTFRB_PUJ1428,,"Malanday - Pier South via Rizal Ave., P. Burgos",False,133.43,1.94,gtfs
LTFRB_102,LTFRB_104,1.8,jeep,LTFRB_PUJ2541,,Malinta Recto via F Huertas,False,88.96,1.8,gtfs
LTFRB_102,LTFRB_1156,2.28,jeep,LTFRB_PUJ1139,,Balintawak - Monumento via A. Bonifacio,False,232.82,2.28,gtfs
LTFRB_102,LTFRB_4961,0.5,transfer,transfer,transfer,transfer,True,33.36,0.5,derived_transfer
LTFRB_1020,LTFRB_1019,2.49,jeep,LTFRB_PUJ1603,,Tandang Sora - Visayas Ave. via Q.C. Hall,False,298.08,2.49,gtfs
LTFRB_1020,LTFRB_1021,2.24,jeep,LTFRB_PUJ1602,,Tandang Sora - Visayas Ave. via Q.C. Hall,False,222.39,2.24,gtfs
LTFRB_1021,LTFRB_1020,2.24,jeep,LTFRB_PUJ1603,,Tandang Sora - Visayas Ave. via Q.C. Hall,False,222.39,2.24,gtfs
LTFRB_1021,LTFRB_1022,2.13,jeep,LTFRB_PUJ1602,,Tandang Sora - Visayas Ave. via Q.C. Hall,False,189.03,2.13,gtfs
LTFRB_1022,LTFRB_1021,2.13,jeep,LTFRB_PUJ1603,,Tandang Sora - Visayas Ave. via Q.C. Hall,False,189.03,2.13,gtfs
LTFRB_1022,LTFRB_1041,2.22,jeep,LTFRB_PUJ1602,,Tandang Sora - Visayas Ave. via Q.C. Hall,False,217.49,2.22,gtfs
LTFRB_1023,LTFRB_1024,2.13,jeep,LTFRB_PUJ1486,,Napocor/Niaville - Mindanao Ave. via Congressional Ave.,False,189.03,2.13,gtfs
LTFRB_1023,LTFRB_1041,2.06,jeep,LTFRB_PUJ1875,,NPC - NIA via CONGRESSIONAL MINDANAO AVE,False,166.79,2.06,gtfs
LTFRB_1024,LTFRB_1023,2.13,jeep,LTFRB_PUJ1875,,NPC - NIA via CONGRESSIONAL MINDANAO AVE,False,189.03,2.13,gtfs
LTFRB_1024,LTFRB_1025,1.9,jeep,LTFRB_PUJ1486,,Napocor/Niaville - Mindanao Ave. via Congressional Ave.,False,121.09,1.9,gtfs
LTFRB_1025,LTFRB_1024,1.9,jeep,LTFRB_PUJ1875,,NPC - NIA via CONGRESSIONAL MINDANAO AVE,False,121.09,1.9,gtfs
LTFRB_1025,LTFRB_1026,2.36,jeep,LTFRB_PUJ1441,,Marcos Ave. - Quirino Hi-way via T. Sora,False,259.19,2.36,gtfs
LTFRB_1025,LTFRB_1101,2.24,jeep,LTFRB_PUJ2317,,Don Mariano Marcos Ave Quirino Highway via Tsora,False,222.2,2.24,gtfs
LTFRB_1025,LTFRB_1102,1.89,jeep,LTFRB_PUJ1486,,Napocor/Niaville - Mindanao Ave. via Congressional Ave.,False,116.4,1.89,gtfs
LTFRB_1026,LTFRB_1025,2.36,jeep,LTFRB_PUJ2317,,Don Mariano Marcos Ave Quirino Highway via Tsora,False,259.19,2.36,gtfs
LTFRB_1026,LTFRB_1027,2.34,jeep,LTFRB_PUJ1441,,Marcos Ave. - Quirino Hi-way via T. Sora,False,253.16,2.34,gtfs
LTFRB_1027,LTFRB_1026,2.34,jeep,LTFRB_PUJ2317,,Don Mariano Marcos Ave Quirino Highway via Tsora,False,253.16,2.34,gtfs
LTFRB_1027,LTFRB_1028,2.23,jeep,LTFRB_PUJ1440,,Marcos Ave. - Quirino Hi-way via T. Sora,False,219.69,2.23,gtfs
LTFRB_1027,LTFRB_1029,1.97,jeep,LTFRB_PUJ1441,,Marcos Ave. - Quirino Hi-way via T. Sora,False,139.59,1.97,gtfs
LTFRB_1027,LTFRB_1039,1.89,jeep,LTFRB_PUJ1617,,Munoz - Luzon,False,116.4,1.89,gtfs
LTFRB_1028,LTFRB_1027,2.23,jeep,LTFRB_PUJ2317,,Don Mariano Marcos Ave Quirino Highway via Tsora,False,219.69,2.23,gtfs
LTFRB_1029,LTFRB_1027,1.97,jeep,LTFRB_PUJ1440,,Marcos Ave. - Quirino Hi-way via T. Sora,False,139.59,1.97,gtfs
LTFRB_1029,LTFRB_1028,2.07,jeep,LTFRB_PUJ2317,,Don Mariano Marcos Ave Quirino Highway via Tsora,False,171.39,2.07,gtfs
LTFRB_1029,LTFRB_1030,2.07,jeep,LTFRB_PUJ1441,,Marcos Ave. - Quirino Hi-way via T. Sora,False,171.39,2.07,gtfs
LTFRB_103,LTFRB_104,2.17,jeep,LTFRB_PUJ1428,,"Malanday - Pier South via Rizal Ave., P. Burgos",False,200.15,2.17,gtfs
LTFRB_103,LTFRB_105,2.32,jeep,LTFRB_PUJ2541,,Malinta Recto via F Huertas,False,244.63,2.32,gtfs
LTFRB_1030,LTFRB_1029,2.07,jeep,LTFRB_PUJ2317,,Don Mariano Marcos Ave Quirino Highway via Tsora,False,171.39,2.07,gtfs
LTFRB_1030,LTFRB_1031,2.02,jeep,LTFRB_PUJ1441,,Marcos Ave. - Quirino Hi-way via T. Sora,False,154.71,2.02,gtfs
LTFRB_1031,LTFRB_1030,2.02,jeep,LTFRB_PUJ2317,,Don Mariano Marcos Ave Quirino Highway via Tsora,False,154.71,2.02,gtfs
LTFRB_1031,LTFRB_1032,2.32,jeep,LTFRB_PUJ1441,,Marcos Ave. - Quirino Hi-way via T. Sora,False,247.48,2.32,gtfs
LTFRB_1032,LTFRB_1031,2.32,jeep,LTFRB_PUJ2317,,Don Mariano Marcos Ave Quirino Highway via Tsora,False,247.48,2.32,gtfs
LTFRB_1032,LTFRB_1033,2.34,jeep,LTFRB_PUJ1441,,Marcos Ave. - Quirino Hi-way via T. Sora,False,253.16,2.34,gtfs
LTFRB_1033,LTFRB_1032,2.34,jeep,LTFRB_PUJ2317,,Don Mariano Marcos Ave Quirino Highway via Tsora,False,253.16,2.34,gtfs
LTFRB_1033,LTFRB_1034,2.6,jeep,LTFRB_PUJ1441,,Marcos Ave. - Quirino Hi-way via T. Sora,False,329.54,2.6,gtfs
LTFRB_1034,LTFRB_1033,2.6,jeep,LTFRB_PUJ2317,,Don Mariano Marcos Ave Quirino Highway via Tsora,False,329.54,2.6,gtfs
LTFRB_1034,LTFRB_1035,2.25,jeep,LTFRB_PUJ1441,,Marcos Ave. - Quirino Hi-way via T. Sora,False,225.25,2.25,gtfs
LTFRB_1035,LTFRB_1034,2.25,jeep,LTFRB_PUJ2317,,Don Mariano Marcos Ave Quirino Highway via Tsora,False,225.25,2.25,gtfs
LTFRB_1035,LTFRB_1036,2.29,jeep,LTFRB_PUJ1441,,Marcos Ave. - Quirino Hi-way via T. Sora,False,237.28,2.29,gtfs
LTFRB_1036,LTFRB_1035,2.29,jeep,LTFRB_PUJ2317,,Don Mariano Marcos Ave Quirino Highway via Tsora,False,237.28,2.29,gtfs
LTFRB_1036,LTFRB_1037,2.23,jeep,LTFRB_PUJ1441,,Marcos Ave. - Quirino Hi-way via T. Sora,False,219.69,2.23,gtfs
LTFRB_1037,LTFRB_1036,2.23,jeep,LTFRB_PUJ2317,,Don Mariano Marcos Ave Quirino Highway via Tsora,False,219.69,2.23,gtfs
LTFRB_1037,LTFRB_1038,2.31,jeep,LTFRB_PUJ1441,,Marcos Ave. - Quirino Hi-way via T. Sora,False,242.18,2.31,gtfs
LTFRB_1038,LTFRB_1037,2.31,jeep,LTFRB_PUJ2317,,Don Mariano Marcos Ave Quirino Highway via Tsora,False,242.18,2.31,gtfs
LTFRB_1038,LTFRB_2259,3.29,jeep,LTFRB_PUJ1441,,Marcos Ave. - Quirino Hi-way via T. Sora,False,537.98,3.29,gtfs
LTFRB_1039,LTFRB_1027,1.89,jeep,LTFRB_PUJ1441,,Marcos Ave. - Quirino Hi-way via T. Sora,False,116.4,1.89,gtfs
LTFRB_1039,LTFRB_1029,2.23,jeep,LTFRB_PUJ1623,,UP Highway - Sangandaan,False,219.69,2.23,gtfs
LTFRB_1039,LTFRB_1040,2.23,jeep,LTFRB_PUJ1617,,Munoz - Luzon,False,219.69,2.23,gtfs
LTFRB_104,LTFRB_102,1.8,jeep,LTFRB_PUJ1428,,"Malanday - Pier South via Rizal Ave., P. Burgos",False,88.96,1.8,gtfs
LTFRB_104,LTFRB_103,2.17,jeep,LTFRB_PUJ2541,,Malinta Recto via F Huertas,False,200.15,2.17,gtfs
LTFRB_104,LTFRB_4961,0.74,transfer,transfer,transfer,transfer,True,55.6,0.74,derived_transfer
LTFRB_1040,LTFRB_1039,2.23,jeep,LTFRB_PUJ1616,,Munoz - Luzon,False,219.69,2.23,gtfs
LTFRB_1040,LTFRB_1041,2.23,jeep,LTFRB_PUJ1617,,Munoz - Luzon,False,219.69,2.23,gtfs
LTFRB_1041,LTFRB_1022,2.22,jeep,LTFRB_PUJ1603,,Tandang Sora - Visayas Ave. via Q.C. Hall,False,217.49,2.22,gtfs
LTFRB_1041,LTFRB_1023,2.06,jeep,LTFRB_PUJ1486,,Napocor/Niaville - Mindanao Ave. via Congressional Ave.,False,166.79,2.06,gtfs
LTFRB_1041,LTFRB_1040,2.23,jeep,LTFRB_PUJ1616,,Munoz - Luzon,False,219.69,2.23,gtfs
LTFRB_1041,LTFRB_1095,2.6,jeep,LTFRB_PUJ1617,,Munoz - Luzon,False,329.53,2.6,gtfs
LTFRB_1042,LTFRB_1043,2.13,jeep,LTFRB_PUJ2172,,Balintawak De la Costa,False,189.03,2.13,gtfs
LTFRB_1042,LTFRB_730,1.87,jeep,LTFRB_PUJ1140,,Balintawak - Novaliches via Quirino Hi-way,False,111.19,1.87,gtfs
LTFRB_1042,LTFRB_731,2.28,jeep,LTFRB_PUB1129,,Baclaran-Nvaliches via EDSA Mind AveAyala,False,233.51,2.28,gtfs
LTFRB_1042,LTFRB_732,2.07,jeep,LTFRB_PUJ1817,,BALINTAWAK - GREENFIELDS,False,171.38,2.07,gtfs
LTFRB_1043,LTFRB_1042,2.13,jeep,LTFRB_PUJ1817,,BALINTAWAK - GREENFIELDS,False,189.03,2.13,gtfs
LTFRB_1043,LTFRB_1044,2.13,jeep,LTFRB_PUJ2172,,Balintawak De la Costa,False,189.03,2.13,gtfs
LTFRB_1044,LTFRB_1043,2.13,jeep,LTFRB_PUJ1817,,BALINTAWAK - GREENFIELDS,False,189.03,2.13,gtfs
LTFRB_1044,LTFRB_1045,2.09,jeep,LTFRB_PUJ2172,,Balintawak De la Costa,False,177.91,2.09,gtfs
LTFRB_1044,LTFRB_1047,3.39,jeep,LTFRB_PUB1101,,"Alabang-Novaliches via EDSA, MindanaoAve",False,566.28,3.39,gtfs
LTFRB_1045,LTFRB_1044,2.09,jeep,LTFRB_PUJ1817,,BALINTAWAK - GREENFIELDS,False,177.91,2.09,gtfs
LTFRB_1045,LTFRB_1046,2.09,jeep,LTFRB_PUJ2172,,Balintawak De la Costa,False,177.91,2.09,gtfs
LTFRB_1046,LTFRB_1043,3.32,jeep,LTFRB_PUB1100,,"Alabang-Novaliches via EDSA, MindanaoAve",False,544.86,3.32,gtfs
LTFRB_1046,LTFRB_1044,2.69,jeep,LTFRB_PUJ2171,,Balintawak De la Costa,False,355.82,2.69,gtfs
LTFRB_1046,LTFRB_1045,2.09,jeep,LTFRB_PUJ1817,,BALINTAWAK - GREENFIELDS,False,177.91,2.09,gtfs
LTFRB_1046,LTFRB_1047,2.26,jeep,LTFRB_PUJ2172,,Balintawak De la Costa,False,227.22,2.26,gtfs
LTFRB_1047,LTFRB_1046,2.26,jeep,LTFRB_PUJ1817,,BALINTAWAK - GREENFIELDS,False,227.22,2.26,gtfs
LTFRB_1047,LTFRB_1048,2.2,jeep,LTFRB_PUJ2172,,Balintawak De la Costa,False,211.27,2.2,gtfs
LTFRB_1048,LTFRB_1047,2.2,jeep,LTFRB_PUJ1817,,BALINTAWAK - GREENFIELDS,False,211.27,2.2,gtfs
LTFRB_1048,LTFRB_1049,2.46,jeep,LTFRB_PUJ2172,,Balintawak De la Costa,False,287.73,2.46,gtfs
LTFRB_1049,LTFRB_1047,3.13,jeep,LTFRB_PUB1100,,"Alabang-Novaliches via EDSA, MindanaoAve",False,490.09,3.13,gtfs
LTFRB_1049,LTFRB_1048,2.46,jeep,LTFRB_PUJ1817,,BALINTAWAK - GREENFIELDS,False,287.73,2.46,gtfs
LTFRB_1049,LTFRB_1051,2.39,jeep,LTFRB_PUJ2172,,Balintawak De la Costa,False,267.23,2.39,gtfs
LTFRB_105,LTFRB_103,2.32,jeep,LTFRB_PUJ1428,,"Malanday - Pier South via Rizal Ave., P. Burgos",False,244.63,2.32,gtfs
LTFRB_105,LTFRB_1164,2.22,jeep,LTFRB_PUJ1004,,A. Bonifacio - A. Mabini via 10th Avenue,False,215.45,2.22,gtfs
LTFRB_105,LTFRB_307,1.86,jeep,LTFRB_PUJ1465,,"MCU - Recto via F. Huertas, Oroquieta",False,107.58,1.86,gtfs
LTFRB_105,LTFRB_4508,2.54,jeep,LTFRB_PUJ2541,,Malinta Recto via F Huertas,False,311.35,2.54,gtfs
LTFRB_1050,LTFRB_1051,2.61,jeep,LTFRB_PUJ1817,,BALINTAWAK - GREENFIELDS,False,334.18,2.61,gtfs
LTFRB_1050,LTFRB_1052,2.42,jeep,LTFRB_PUJ2172,,Balintawak De la Costa,False,277.44,2.42,gtfs
LTFRB_1051,LTFRB_1049,2.39,jeep,LTFRB_PUJ1817,,BALINTAWAK - GREENFIELDS,False,267.23,2.39,gtfs
LTFRB_1051,LTFRB_1050,2.61,jeep,LTFRB_PUJ2172,,Balintawak De la Costa,False,334.18,2.61,gtfs
LTFRB_1052,LTFRB_1049,4.4,jeep,LTFRB_PUB1100,,"Alabang-Novaliches via EDSA, MindanaoAve",False,869.95,4.4,gtfs
LTFRB_1052,LTFRB_1050,2.42,jeep,LTFRB_PUJ1817,,BALINTAWAK - GREENFIELDS,False,277.44,2.42,gtfs
LTFRB_1052,LTFRB_1051,3.52,jeep,LTFRB_PUJ1823,,NOVALICHES - RIZAL AVE. via BANAL,False,604.77,3.52,gtfs
LTFRB_1052,LTFRB_1053,2.64,jeep,LTFRB_PUJ2172,,Balintawak De la Costa,False,342.77,2.64,gtfs
